Customer ID,Age,Under 30,Senior Citizen,Number of Dependents,Country,State,City,Zip Code,Latitude,Longitude,Population,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score,Customer Status,Churn Label,Churn Score,CLTV,Gender_Male,Married_Yes,Dependents_Yes,Churn Category_Competitor,Churn Category_Dissatisfaction,Churn Category_Other,Churn Category_Price,Churn Reason_Attitude of support person,Churn Reason_Competitor had better devices,Churn Reason_Competitor made better offer,Churn Reason_Competitor offered higher download speeds,Churn Reason_Competitor offered more data,Churn Reason_Deceased,Churn Reason_Don't know,Churn Reason_Extra data charges,Churn Reason_Lack of affordable download/upload speed,Churn Reason_Lack of self-service on Website,Churn Reason_Limited range of services,Churn Reason_Long distance charges,Churn Reason_Moved,Churn Reason_Network reliability,Churn Reason_Poor expertise of online support,Churn Reason_Poor expertise of phone support,Churn Reason_Price too high,Churn Reason_Product dissatisfaction,Churn Reason_Service dissatisfaction
5956-VKDTT,72,No,Yes,0,United States,California,Moreno Valley,92557,33.970661,-117.255039,46214,Q3,Yes,4,5,Offer E,Yes,45.76,Yes,Yes,Fiber Optic,22,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.35,334.8,0.0,-0.27330037394865414,-0.614575117835298,-0.8624007275576339,-1.8683228232286704,Churned,Yes,82,0.7377210863752918,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0257-ZESQC,80,No,Yes,0,United States,California,Perris,92571,33.828289,-117.201666,26357,Q3,Yes,2,27,None,Yes,7.02,No,Yes,Cable,25,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.2,1929.35,0.0,-0.27330037394865414,-0.6609488509987597,-0.3195423022304127,-1.8683228232286704,Churned,Yes,91,0.09865333315718794,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2865-TCHJW,74,No,Yes,0,United States,California,Anaheim,92807,33.848733,-117.788357,36301,Q3,No,0,4,None,Yes,48.35,Yes,Yes,Cable,24,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.2,346.2,0.0,-0.27330037394865414,-0.6563894365817713,-0.8707776876151493,-1.8683228232286704,Churned,Yes,74,1.1899714143801667,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5192-EBGOV,68,No,Yes,0,United States,California,Brea,92823,33.924143,-117.79387,1408,Q3,No,0,1,None,Yes,45.81,Yes,Yes,Fiber Optic,21,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.7,85.7,0.0,-0.27330037394865414,-0.8307220722821099,-1.0132174221931287,-1.8683228232286704,Churned,Yes,66,0.4055072940277854,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3419-SNJJD,78,No,Yes,0,United States,California,Yorba Linda,92887,33.884073,-117.732197,20893,Q3,Yes,3,65,Offer B,Yes,18.39,Yes,Yes,Fiber Optic,28,Yes,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,105.25,6786.4,0.0,-0.27330037394865414,0.527109339351248,1.7268303662198132,-1.8683228232286704,Churned,Yes,91,-0.17269686364573708,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4554-YGZIH,75,No,Yes,0,United States,California,Summerland,93067,34.420998,-119.60137,576,Q3,Yes,3,49,Offer B,Yes,22.92,Yes,Yes,Fiber Optic,14,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,No,Credit Card,90.05,4547.25,0.0,-0.27330037394865414,0.44174434455442285,0.9200523238805418,-1.0360795973732833,Churned,Yes,96,0.5568209551733417,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5099-BAILX,77,No,Yes,0,United States,California,Santa Barbara,93101,34.419203,-119.710008,31727,Q3,Yes,1,43,Offer B,Yes,14.52,Yes,Yes,Fiber Optic,5,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,110.75,4687.9,0.0,-0.27330037394865414,-0.1473414476840278,0.795071570222434,-1.0360795973732833,Churned,Yes,65,-1.4136379505824783,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4913-EHYUI,80,No,Yes,0,United States,California,Alpaugh,93201,35.869626,-119.498771,1054,Q3,No,0,56,Offer B,Yes,48.8,Yes,Yes,Fiber Optic,12,Yes,No,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,104.55,5794.65,0.0,-0.27330037394865414,2.3431382759830375,1.917301495527572,-1.8683228232286704,Churned,Yes,91,1.5788221636927695,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1626-ERCMM,75,No,Yes,0,United States,California,Camp Nelson,93208,36.057458,-118.591951,191,Q3,Yes,7,20,None,Yes,5.31,Yes,Yes,Fiber Optic,10,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.55,1899.65,0.0,-0.27330037394865414,-0.759389679369694,-0.3589977841013107,-1.8683228232286704,Churned,Yes,84,1.0175245603371863,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5644-PDMZC,69,No,Yes,0,United States,California,Delano,93215,35.772244,-119.209689,37280,Q3,No,0,2,None,Yes,47.47,Yes,Yes,Fiber Optic,19,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,89.5,161.5,0.0,-0.27330037394865414,-0.7726899400783181,-0.9696118546937366,-1.0360795973732833,Churned,Yes,80,-1.9740902262221647,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4160-AMJTL,74,No,Yes,0,United States,California,Fellows,93224,35.215731,-119.57013,626,Q3,No,0,8,None,Yes,27.95,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,19.65,164.3,0.0,-0.27330037394865414,-0.6207173341483393,-0.9237270559786953,-1.0360795973732833,Churned,Yes,83,0.8721281932029088,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0823-HSCDJ,76,No,Yes,0,United States,California,Temecula,92592,33.507255,-117.029473,46171,Q3,No,0,52,None,No,0.0,No,Yes,DSL,18,No,Yes,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,49.15,2550.9,0.0,0.921766596490318,-0.884832635609114,-0.15828233072321493,-1.0360795973732833,Churned,Yes,90,1.0116072663259077,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0067-DKWBL,69,No,Yes,0,United States,California,San Diego,92129,32.961064,-117.134917,47224,Q3,No,0,2,None,Yes,43.99,No,Yes,DSL,27,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.25,91.1,0.0,-0.27330037394865414,-0.7809110603742349,-0.9966135892791282,-1.0360795973732833,Churned,Yes,95,-0.7821781468074471,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5244-IRFIH,72,No,Yes,0,United States,California,San Diego,92129,32.961064,-117.134917,47224,Q3,Yes,1,33,None,Yes,27.78,Yes,Yes,Fiber Optic,8,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.5,3105.55,0.0,-0.27330037394865414,0.1980164764711658,0.34482043833104714,-0.20383637151789624,Churned,Yes,91,-0.05688696656785319,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2684-EIWEO,69,No,Yes,0,United States,California,San Diego,92129,32.961064,-117.134917,47224,Q3,No,0,30,None,Yes,45.88,Yes,Yes,Fiber Optic,19,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Credit Card,91.7,2758.15,0.0,-0.27330037394865414,0.7409647746351179,0.38400366900007604,-1.8683228232286704,Churned,Yes,90,-1.621588568693131,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6683-VLCTZ,73,No,Yes,0,United States,California,San Diego,92129,32.961064,-117.134917,47224,Q3,No,0,20,None,Yes,44.44,Yes,Yes,Fiber Optic,13,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,98.55,1842.8,0.0,4.506967507807235,0.16501387574301704,-0.0637972020744879,-0.20383637151789624,Churned,Yes,92,0.8822721257936723,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0691-IFBQW,65,No,Yes,0,United States,California,Biola,93606,36.798882,-120.019511,807,Q3,No,0,46,None,Yes,2.37,Yes,Yes,Fiber Optic,20,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,110.0,4874.8,0.0,-0.27330037394865414,-0.7560587082153141,0.6804328718353346,-1.8683228232286704,Churned,Yes,81,-1.6883694582489912,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3643-AHCFP,74,No,Yes,0,United States,California,Selma,93662,36.545322,-119.642281,26213,Q3,Yes,1,7,None,Yes,21.91,Yes,Yes,Cable,11,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.6,644.35,0.0,-0.27330037394865414,-0.7036726902377409,-0.7806834821965698,-0.20383637151789624,Churned,Yes,83,-0.9596969671458093,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9231-ZJYAM,65,No,Yes,0,United States,California,Squaw Valley,93675,36.719141,-119.202677,3146,Q3,No,0,4,None,Yes,36.93,No,Yes,Fiber Optic,18,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,78.85,292.8,0.0,-0.27330037394865414,-0.7103464445009492,-0.9053605710525925,-0.20383637151789624,Churned,Yes,72,0.7613902624204066,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
